date,item_name,category,quantity,unit,selling_price_per_unit,total_amount,transaction_type
2026-07-21 03:46:00,Green Peas / Matar,vegetables,15,kg,63,945,sales
2026-07-21 06:58:00,Fresh Green Chillies,vegetables,7,kg,54,378,sales
2026-07-21 10:02:00,Hybrid Red Tomatoes,vegetables,32,kg,28,896,sales
2026-07-21 13:30:00,Cold-Storage Agra Potato,vegetables,20,kg,25,500,sales
2026-07-22 05:19:00,Cold-Storage Agra Potato,vegetables,31,kg,20,620,sales
2026-07-22 08:24:00,Fresh Green Chillies,vegetables,3,kg,56,168,sales
2026-07-22 09:00:00,Hybrid Red Tomatoes,vegetables,17,kg,27,459,sales
2026-07-22 09:29:00,Nashik Red Onion,vegetables,29,kg,35,1015,sales
2026-07-22 09:48:00,Nashik Red Onion,vegetables,28,kg,32,896,sales
2026-07-22 15:49:00,Fresh Green Chillies,vegetables,2,kg,56,112,sales
2026-07-23 04:38:00,Cold-Storage Agra Potato,vegetables,40,kg,21,840,sales
2026-07-23 05:14:00,Lady Finger / Bhindi,vegetables,7,kg,41,287,sales
2026-07-23 12:43:00,Hybrid Red Tomatoes,vegetables,24,kg,28,672,sales
2026-07-23 14:55:00,Lady Finger / Bhindi,vegetables,9,kg,44,396,sales
2026-07-24 03:17:00,Fresh Green Chillies,vegetables,3,kg,53,159,sales
2026-07-25 03:07:00,Cold-Storage Agra Potato,vegetables,42,kg,25,1050,sales
2026-07-25 07:26:00,Nashik Red Onion,vegetables,31,kg,30,930,sales
2026-07-26 05:50:00,Fresh Ginger / Adrak,vegetables,2,kg,113,226,sales
2026-07-26 06:21:00,Fresh Green Chillies,vegetables,9,kg,56,504,sales
2026-07-26 06:57:00,Fresh Cauliflower,vegetables,10,piece,26,260,sales
2026-07-27 06:03:00,Fresh Ginger / Adrak,vegetables,4,kg,113,452,sales
2026-07-27 11:11:00,Hybrid Red Tomatoes,vegetables,29,kg,25,725,sales
2026-07-28 06:12:00,Cold-Storage Agra Potato,vegetables,51,kg,20,1020,sales
2026-07-28 06:57:00,Green Peas / Matar,vegetables,6,kg,64,384,sales
2026-07-28 14:28:00,Nashik Red Onion,vegetables,37,kg,30,1110,sales
2026-07-28 14:51:00,Cold-Storage Agra Potato,vegetables,44,kg,22,968,sales
2026-07-28 15:05:00,Cold-Storage Agra Potato,vegetables,44,kg,25,1100,sales
2026-07-29 09:06:00,Hybrid Red Tomatoes,vegetables,30,kg,28,840,sales
2026-07-29 13:24:00,Fresh Green Chillies,vegetables,9,kg,57,513,sales
2026-07-30 03:02:00,Green Peas / Matar,vegetables,7,kg,66,462,sales
2026-07-30 04:25:00,Fresh Green Chillies,vegetables,12,kg,38,456,purchase
2026-07-30 06:52:00,Fresh Ginger / Adrak,vegetables,6,kg,108,648,sales
2026-07-30 08:57:00,Cold-Storage Agra Potato,vegetables,23,kg,23,529,sales
2026-08-01 03:08:00,Fresh Cauliflower,vegetables,9,piece,31,279,sales
2026-08-01 03:34:00,Cold-Storage Agra Potato,vegetables,24,kg,24,576,sales
2026-08-01 06:28:00,Fresh Green Chillies,vegetables,6,kg,58,348,sales
2026-08-01 08:02:00,Hybrid Red Tomatoes,vegetables,49,kg,28,1372,sales
2026-08-02 04:43:00,Lady Finger / Bhindi,vegetables,10,kg,42,420,sales
2026-08-02 12:09:00,Nashik Red Onion,vegetables,37,kg,34,1258,sales
