date,item_name,category,quantity,unit,selling_price_per_unit,total_amount,transaction_type
2026-07-21 03:26:00,Havells 2.5mm Copper Wire 90m,hardware,16,coil,1850,29600,purchase
2026-07-21 05:29:00,Astral PVC Pipe 4-inch 10ft,hardware,6,length,361,2166,sales
2026-07-22 03:22:00,Havells 2.5mm Copper Wire 90m,hardware,3,coil,2198,6594,sales
2026-07-22 03:25:00,TMT Steel Rebar 12mm,hardware,84,kg,67,5628,sales
2026-07-22 06:16:00,UltraTech Super Cement 50kg,hardware,5,bag,386,1930,sales
2026-07-22 08:52:00,Asian Paints Apex Ultima 20L,hardware,3,bucket,4449,13347,sales
2026-07-22 13:40:00,Havells 2.5mm Copper Wire 90m,hardware,1,coil,2199,2199,sales
2026-07-23 07:47:00,Anchor Modular Switch 6A,hardware,3,box,310,930,sales
2026-07-23 10:50:00,TMT Steel Rebar 12mm,hardware,107,kg,67,7169,sales
2026-07-24 03:58:00,Havells 2.5mm Copper Wire 90m,hardware,4,coil,2202,8808,sales
2026-07-24 05:36:00,GI Binding Wire 1kg,hardware,10,roll,89,890,sales
2026-07-24 09:12:00,GI Binding Wire 1kg,hardware,10,roll,88,880,sales
2026-07-24 09:37:00,Brass Ball Valve 1-inch,hardware,5,piece,271,1355,sales
2026-07-25 11:10:00,Anchor Modular Switch 6A,hardware,3,box,312,936,sales
2026-07-25 13:13:00,Brass Ball Valve 1-inch,hardware,2,piece,268,536,sales
2026-07-26 08:18:00,Anchor Modular Switch 6A,hardware,35,box,240,8400,purchase
2026-07-27 13:41:00,GI Binding Wire 1kg,hardware,15,roll,89,1335,sales
2026-07-28 04:24:00,Astral PVC Pipe 4-inch 10ft,hardware,8,length,361,2888,sales
2026-07-29 10:24:00,GI Binding Wire 1kg,hardware,6,roll,93,558,sales
2026-07-29 10:26:00,Asian Paints Apex Ultima 20L,hardware,1,bucket,4450,4450,sales
2026-07-29 12:16:00,Astral PVC Pipe 4-inch 10ft,hardware,3,length,363,1089,sales
2026-07-29 12:24:00,Brass Ball Valve 1-inch,hardware,6,piece,270,1620,sales
2026-07-29 14:57:00,Astral PVC Pipe 4-inch 10ft,hardware,4,length,359,1436,sales
2026-07-30 12:24:00,UltraTech Super Cement 50kg,hardware,10,bag,384,3840,sales
2026-08-01 12:34:00,Asian Paints Apex Ultima 20L,hardware,3,bucket,4452,13356,sales
2026-08-01 13:36:00,Astral PVC Pipe 4-inch 10ft,hardware,7,length,363,2541,sales
2026-08-02 04:17:00,Brass Ball Valve 1-inch,hardware,3,piece,268,804,sales
2026-08-02 05:29:00,Brass Ball Valve 1-inch,hardware,5,piece,273,1365,sales
2026-08-02 08:09:00,TMT Steel Rebar 12mm,hardware,90,kg,65,5850,sales
2026-08-03 04:19:00,Anchor Modular Switch 6A,hardware,3,box,309,927,sales
2026-08-03 07:28:00,Havells 2.5mm Copper Wire 90m,hardware,3,coil,2202,6606,sales
2026-08-04 10:01:00,Astral PVC Pipe 4-inch 10ft,hardware,32,length,290,9280,purchase
2026-08-04 10:49:00,Brass Ball Valve 1-inch,hardware,4,piece,273,1092,sales
2026-08-04 12:16:00,Astral PVC Pipe 4-inch 10ft,hardware,5,length,362,1810,sales
2026-08-04 15:20:00,TMT Steel Rebar 12mm,hardware,35,kg,65,2275,sales
2026-08-04 15:42:00,Brass Ball Valve 1-inch,hardware,3,piece,273,819,sales
2026-08-05 06:57:00,Anchor Modular Switch 6A,hardware,3,box,313,939,sales
2026-08-06 03:43:00,GI Binding Wire 1kg,hardware,15,roll,92,1380,sales
2026-08-06 08:50:00,Havells 2.5mm Copper Wire 90m,hardware,2,coil,2200,4400,sales
2026-08-07 03:36:00,Havells 2.5mm Copper Wire 90m,hardware,4,coil,2202,8808,sales
2026-08-07 05:10:00,GI Binding Wire 1kg,hardware,5,roll,92,460,sales
2026-08-07 13:21:00,UltraTech Super Cement 50kg,hardware,11,bag,383,4213,sales
2026-08-08 04:25:00,Anchor Modular Switch 6A,hardware,2,box,309,618,sales
